VERBATIM,CODES
"Nespresso & You promete cuidar a sus clientes, pero como cliente de mucho tiempo, no veo evidencia de ello. Además, el pedido llegó sin una pieza, lo cual afecta gravemente su funcionamiento.","103,0204"
"yo recomiendo Nespresso, pero creo que la empres de mensajeria por la cual me enviaron el pedido es pesima.","104,9995"
"Tuve un problema al recibir aviso de que el pedido había sido entregado y no fue así, hablé con el repartidor lo habia dejado en la dirección indicada siendo mentira, y que volvería a hablar con el y me dirían algo. nadie volvió a contactarme. Encontré la caja en el restaurante al dia siguiente, cuando especifica la dirección que es el 1ª. Al restaurante llegan infinidad de cajas y pedidos y luego es díficl saber quien lo recoge y donde lo pone.",104
"Tuve que realizar un nuevo pedido porque la empresa de transporte afirmó que no estábamos en casa, lo cual no era cierto.",104
"Tuve que desplazarme a un centro de recogida debido a problemas con la entrega, a pesar de haber solicitado la entrega a domicilio.",102
tuve problemas en la compañía de reparto.,104
"Todo perfecto menos el servicio de mensajería que falla de vez en cuando,",104
Necesitaba el café y por problemas de Seur no me llegó a tiempo,104
El repartidor de MRW entregó mi paquete tarde y no ofreció ninguna explicación o disculpa.,104
Estoy muy insatisfecho con el servicio de mensajería DHL debido a entregas incorrectas y tardías.,104
"El transporte pesimo, tarde  e incompleto","0104,0102,0103"
Un ajuste de precios podría ser beneficioso para alcanzar a un público más amplio.,201
Estos productos merecen ser más accesibles en términos de precio.,201
La empresa debería ser más considerada con los precios de estos productos.,201
Estos productos deberían ser más asequibles para llegar a más personas.,201
El café es caro,201
es un producto de precio elevado,201
Los precios elevados de estos productos son una carga para mi presupuesto.,201
"No puedo creer lo costosos que son estos productos; es un verdadero robo. A pesar de eso, disfruto mucho del rico sabor y la variedad de opciones que ofrecen.","201,9201"
"Tuve un pequeño inconveniente con una devolución, pero por lo demás, todo bien.","202,9995"
"Tras un problema con mi máquina en garantía, tuve que pagar por la reparación debido a la falta de ticket de compra.",202
"Tras ofrecerme una taza por mi compra y corroborarlo telefónicamente con un trabajador de Nespresso, no le llegó nada en la caja del pedido de dicha raza promocionada y conseguida por el número de cápsulas compradas.","202,0103"
"Tenía un descuento en cápsulas, pero las enviaron sin preguntar si me venía bien o no.",202
"Nunca me informan de las nuevas promociones, y esto me hace sentir que no valoran a los clientes.","202,0204"
No estoy satisfecho con las opciones de garantía que ofrece esta empresa.,202
La empresa necesita mejorar urgentemente su política de garantía. La experiencia del cliente es mala.,"202,0808"
Los costos de envío son excesivos y deberían eliminarse. Sólo encarecen las compras.,202
"Últimamente, mi percepción de Nespresso ha disminuido debido a su enfoque en promocionar nuevas cápsulas que no me atraen, y a un incremento de precios que parece estar oculto.","202,0201"
"La empresa prometió cambiar el producto por uno nuevo, pero nunca lo hizo; francamente, eso es un pésimo servicio. Por otro lado, el sitio web de esta marca de café es realmente un éxito total; los pagos en línea funcionan increíblemente bien.","202,9501"
"Ya no hay nada que hacer. La próxima vez tendré más cuidado con sus promociones engañosas,",203
Visité la tienda para comprar cápsulas de café Vertuo porque habia visto repetidamente una promoción de 60 cápsulas de regalo que actualmente continua publicándose.  Lamento decir que considero que es una publicidad engañosa ya que me explicaron que es solamente para los clientes que reciben un mail con la oferta.,203
"Una promoción real que tenía fue negada por la empresa, lo que me hizo sentir engañada.",203
"Totalmente las explicaciones que me dieron, no se ajustaban a la realidad, tomadura de pelo en las promociones.",203
"Te venden algo que no cumple con lo que dicen, me parece una posventa malísima,","203,0808"
"Compré un producto basado en su publicidad, pero resultó ser una decepción total.",203
Los anuncios de esta empresa son pura fantasía. No se apegan a la realidad.,203
Me engañaron con la publicidad de esta empresa. No volveré a confiar en ellos.,203
Los anuncios son engañosos. La empresa promete cosas que no cumple. Me gustaría que los productos fueran más fáciles de encontrar.,"203,0208"
"No han hecho lo que prometieron El café no sale muy caliente , está es la pega que yo veo","203,0208"
"Los anuncios son engañosos y la empresa promete cosas que no cumple. A pesar de eso, lo único que realmente mejoraría es el reciclaje de las cápsulas.","203,0301"
Valorais mas a los nuevos socios que a a los que llevan tiempo con Nespresso,204
"Todavía no sé cuál es mi reward de aniversario, a pesar de haber realizado compras de cápsulas.",204
"Lamentable CRM con los clientes históricos. Lejos de disculparse, me proponen aumentar una compra cuando ya les he informado que abandono la marca",204
Me gustaría q hubiera mas promociones para los clientes fieles,204
No veo ninguna razón para seguir siendo leal,204
"Si, se valoraria mucho que hubiera mas ofertas para buenos y fieles clientes .",204
"A pesar de ser cliente de Nespresso durante años, no recibo ningún trato especial. ¿Dónde está la lealtad? Vivo en Segovia y no tengo ninguna manera de reciclar las cápsulas. Eso no me gusta nada.","204,0301"
"Esperaba mejores beneficios como cliente de larga data en Nespresso, pero me siento ignorado. La demora en la comunicación con el servicio técnico ha afectado negativamente mi lealtad hacia la marca de café.","204,0404"
Tras 6 meses de suscripción y más de 120€ gastados en cápsulas valoraríamos que mandaran alguna cápsula de prueba de nuevos sabores etc.,205
"Tengo una suscripción que debo hacer un pedido mensual y este mes de enero falló, hice el pedido de cafés y me cobraron el importe del pedido más el importe de la suscripción, no me lo descontaron y tuve que llamar por telefono",205
"Tengo un problema en mi cuenta de suscripción, lo he comunicado y casi un mes después está todo igual. Nadie se ha puesto en contacto conmigo y mi cuenta está bloqueada. No estoy nada contenta con el servicio postventa.","205,0808"
El proceso para modificar el plan de suscripción es tedioso y consume mucho tiempo.,205
Los descuentos para suscriptores son mínimos; no vale la pena el compromiso a largo plazo.,202
Las cápsulas exclusivas para suscriptores no son tan especiales como se prometió.,205
La suscripción que tenemos no nos satisface del todo.,205
"Hice una suscripción al comprar una máquina, pero ahora, al intentar usarla, la máquina no funciona. He contactado a Nespresso para solucionar el problema, pero hasta ahora no he recibido ninguna respuesta efectiva.","207,0808"
La facturación del plan de suscripción es un caos. No se corresponden con lo acordado.,205
No puedo confiar en el plan de suscripción. Siempre hay errores en la facturación.,205
"Últimamente, Nespresso ha estado haciendo cambios constantes en sus cafés afectando a su calidad.",208
Tienen que mejorar la calidad y la variedad de los descafeinados.,206
Tengo una cafetera Vertuo y me gustaría tener más opciones de descafeinados de doble espresso.,206
Tengo problemas para entender por qué algunas cápsulas que siempre pedía han desaparecido de mis pedidos anteriores sin previo aviso.,206
Tengo la impresión de que el café de Nespresso cada vez es más suave y no me gusta.,208
Nunca tienen café fresco en existencia.,206
Han eliminado algunos cafés que no eran de edición limitada…,206
"Mi valoración tiene que ver con el producto que compré, el de cacao y vainilla, me decepcionaron... no noté ningún sabor y mucho menos una diferencia.",206
"he enfrentado dificultades para comprar las ediciones especiales de Vertuo, como los sabores de pastel de calabaza y galleta de jengibre.",206
"Tienen que mejorar la calidad y la variedad de los descafeinados. Además, vivo actualmente en Segovia y no tengo ninguna manera de reciclar las cápsulas, lo cual no me gusta nada.","206,0301"
"Una cafetera se termina la garantía y se estropea y ahora vale más arreglarla que comprar una nueva y todo esto comprando siempre cápsulas originales Nespreso  , no sé hasta qué punto ni mi saldría mejor por comprar Cápsulas más baratas si la cafetera se va estropear igual ",207
"Tengo una máquina que simplemente no hace café, es frustrante.",207
Tengo una máquina nueva vertuo y no me gusta nada prefería el modelo clásico mucho mejor,207
"Tengo problemas recurrentes con mi máquina Vertuo, y el soporte al cliente no me proporciona soluciones efectivas.",406
Mi cafetera siempre se descompone en el peor momento.,207
"He mandado a arreglar tres veces la cafetera, si me han dejado otra y no me he quedado sin café ningún día, pero espero que me den una nueva puesto que no tiene ni un año y ya no me fío de ella",207
"Una cafetera se termina la garantía y se estropea y ahora vale más arreglarla que comprar una nueva y todo esto comprando siempre cápsulas originales Nespreso  , no sé hasta qué punto ni mi saldría mejor por comprar Cápsulas más baratas si la cafetera se va estropear igual ",207
Es la tercera vez que tengo que enviar la máquina en menos de 6 meses a reparar u cada vez que falla pierdo varias capsulas de café además del trastorno que conlleva tener que enviarla tantas veces en tan poco tiempo tenemos que estar pendientes de la recogida dem transporte,207
"Tengo dos máquinas Nespresso Vertuo. Una de ellas, con poco más de dos años, ya no funciona, a pesar de que no ha tenido un uso excesivo. Arreglarla ahora cuesta más que comprar una nueva. Además, gasté un montón de pastillas, líquido para limpiar y otros productos con el servicio técnico, pero al final no sirvió para nada.","207,0202"
Me gustaría que los cafés saliesen más calientes.,208
Los productos son una decepción total.,208
No puedo confiar en estos productos.,208
Los accesorios son una inversión inútil.,208
Los accesorios son frágiles y costosos.,208
La durabilidad de los accesorios deja mucho que desear.,208
Los productos no se adaptan a mis necesidades.,208
Nunca volveré a comprar productos de esta marca.,208
"Ya que recicláis las cápsulas, deberíais dar las bolsas para su reciclado. Siempre las pido y casi nunca te las dan, me parece incoherente con la política de gestión de residuos y cuidado del medio ambiente. Me FASTIDIA muchísimo estar mendigándolas, TENDRÍA que SER INICIATIVA DE NESPRESSO.","301,9301"
Vivo en Segovia y no tengo ninguna manera de reciclar las cápsulas. Eso no me gusta nada.,301
Un sistema de recogida de cápsulas a domicilio aumentaría la tasa de reciclaje.,301
Un sistema de depósito para cápsulas podría incentivar el reciclaje.,301
Un servicio de suscripción para reciclar cápsulas podría ser muy efectivo.,301
Tener un punto de reciclaje de cápsulas en mi barrio sería ideal.,301
Te daría un 10 si a la entrega pudiéramos depositar las cápsulas para su reciclaje,301
Seguir mejorando y facilitar la recogida de capsulas,301
Han dejado de enviar las bolsas de reciclaje con los pedidos?,301
Me gustaría que potenciaseis mas el reciclado de cápsulas incentivando a los clientes con algún obsequio como premio a la fidelidad y al compromiso,301
Sería ideal tener cápsulas de café que no comprometan el medio ambiente.,302
Prefiero opciones de café más ecológicas que no impliquen tanto desperdicio.,302
No puedo apoyar una empresa que ignora la sostenibilidad.,302
Me siento culpable por comprar productos que no son sostenibles.,302
Me hubiera gustado que hubiera un servicio para aprovechar máquinas que pueden tener una segunda vida.,302
INTENTAR HACER CÀPSULAS ECOLÓGICAS.,302
"El unico problema es la parte ecologica El café no sale muy caliente , está es la pega que yo veo","302,0208"
"Debido al problema de sostenibilidad de las cápsulas no puedo recomendar como merecería el producto. El proceso de recoger mi máquina para repararla lleva una eternidad, esto es inaceptable.","302,0402"
"Me parece una opción poco ecológica Estoy cansado de esperar a que recojan mi máquina para reparar, el servicio es lento.","0302,0402,0404"
Tuve una avería en una de mis cafeteras Nespresso y se la llevaron hasta en tres ocasiones para arreglarla. Es una latissima One y no se termino de solucionar hasta que me cambiaron por un recambio nuevo el contenedor de leche,401
"Tras varias reparaciones, mi cafetera todavía no prepara correctamente el café.",401
"Tras ser reparada, mi cafetera aún tiene problemas con el filtro.",401
"Tras repararla, la cafetera sigue sin espumar la leche adecuadamente.",401
"Tras recibir mi máquina del taller, continúa con dificultades en el dispensador.",401
Tengo un problema con mi cafetera y tras pasar por taller no se ha solucionado,401
Envié una máquina a reparar al servicio técnico y llegó con más problemas de los enviados. Además la máquina de cortesía llegó en mal estado por lo que no se pudo utilizar.,"401,0405"
La cafetera sigue sin funcionar correctamente tras su reparación en el servicio técnico.,401
"Mi máquina no calienta después de la reparación, ¿qué están haciendo en el servicio técnico? Me gustaría que los productos fueran más fáciles de encontrar.","401,0208,0206"
Ya van más de 15 días desde que notifiqué el problema con mi máquina y todavía no la recogen.,402
Ya hace más de 20 días que reporté el fallo de mi cafetera y sigo sin noticias sobre la recogida.,402
"Tras esperar pacientemente, aún no han venido a recoger mi máquina estropeada, a pesar de estar en garantía.",402
Tras dos meses sigo esperando mi cafetera. Lo mas molesto todavía es tener en casa la disco box y que nadie pasara a por ella con mi cafetera averiada.,402
Todavía tengo la máquina averiada en casa desde el domingo,402
Todavía estoy esperando que cambien mi cafetera,202
Tardaron mucho en recoger mi cafetera para reparar,402
La falta de puntualidad a la hora de recoger mi cafetera para repararla es inaceptable.,402
Me siento frustrado por la falta de comunicación con respecto a recoger mi máquina para repararla.,404
La lentitud en el proceso de recoger la cafetera para repararla es irritante.,402
Todavía no tengo arreglada mi máquina Nespresso.,403
Todavía no me han devuelto mi máquina.,403
"Todavía estoy esperando la máquina, que aparentemente está retrasada, así que mi experiencia hasta ahora ha sido terrible, especialmente después de haber invertido tanto en café.",403
Tengo una màquina reparando más de un mes!!!!!!!,403
Estoy decepcionado por la falta de cumplimiento en la entrega de las reparaciones del servicio técnico.,403
Estoy decepcionado por el incumplimiento en la entrega del servicio técnico de reparación.,403
La entrega tardía de las reparaciones del servicio técnico es inaceptable.,403
Indignante que tarden tanto en reparar mi máquina,403
Tardan mucho en arreglar el problema,403
Nunca imaginé que la reparación de mi cafetera Nespresso tardaría tanto y con tan poca información.,"403,0404"
No tengo idea de cuándo el servicio técnico terminará con la reparación de mi máquina.,404
No puedo creer que el servicio técnico no me haya contactado aún sobre mi cafetera.,404
No he recibido ninguna noticia del servicio técnico sobre mi cafetera desde hace días.,404
La falta de claridad en el proceso de comunicación con el soporte técnico es una deficiencia importante que debe abordarse.,404
No me han dicho todavía que le ocurre a mi cafetera,404
El servicio de reparación no informa bien,404
El servicio técnico me atiende mal,404
La falta de transparencia en el proceso de comunicación con el servicio técnico es inaceptable y poco profesional. No creo que a Nespresso le importen sus clientes leales. No hay recompensas por ser fiel.,"404,0204"
La lentitud en obtener ayuda del servicio técnico ha erosionado mi confianza en la marca de café. A la semana de llegarme la máquina se averió y me dijeron que no había stock así que me que de sin maquina,"404,0207,0206"
La máquina de sustitución que me dieron como cortesía estaba llena de problemas y no hacía café decente.,405
"Prometieron enviarme una máquina de cortesía, pero nunca llegó y tuve que lidiar con la falta de café.",405
La máquina de sustitución que me proporcionaron estaba tan sucia que ni siquiera quise probarla. ¿Dónde está la higiene?,405
"Una decepcion porque la maquina que me dejaron de cortesia no funcionaba, de hecho me lleno toda la encimera de agua. Y no debo ser la unica, porque conozco mas personas por mi zona que han tenido situaciones incluso peores...",405
La máquina de reemplazo tenía marcas y arañazos en toda la superficie.,405
"Mi cafetera está en reparación y me prometieron una máquina de cortesía, pero han pasado semanas y nunca llegó. Además, la atención en El Corte Inglés fue pésima.","405,0601"
"Llevo esperando la máquina de sustitución durante meses y aún no ha llegado. ¿Es este el servicio al cliente que se promete? Por otro lado, en la tienda Nespresso de la calle Principal, el servicio siempre es rápido y eficiente.","405,9701"
"Una experiencia lamentable con el servicio técnico, sin duda.",406
No puedo creer que tengan la audacia de ofrecer un servicio técnico tan malo.,406
"Me siento estafado por el servicio técnico que he recibido, es realmente lamentable.",406
Mal servicio técnico,406
Es una vergüenza que el servicio técnico sea tan ineficiente y decepcionante.,406
"El servicio técnico es un verdadero lastre, no cumplen con sus promesas.",406
Es triste ver cómo la calidad del servicio técnico ha caído tan bajo.,406
"La calidad del servicio técnico deja mucho que desear, no lo recomiendo.",406
"La experiencia con el servicio técnico ha sido realmente decepcionante. Mi pedido se ha retrasado dos veces consecutivas, y como resultado, he perdido la confianza en que llegue a tiempo.","406,0102"
"Sin duda, mi experiencia con el servicio técnico ha sido lamentable. Pedí cápsulas de café específicas, pero en lugar de eso, recibí una variedad diferente que no había solicitado.","406,0103"
"Definitivamente, mi experiencia con el servicio técnico ha sido lamentable. Además, también estoy preocupado porque las cápsulas de aluminio parecen poco ecológicas.","406,0302"
"Una experiencia lamentable con el servicio técnico, sin duda. Me siento completamente cómodo con el reciclaje.","406,9301"
"No recomendaría este servicio técnico a nadie, es realmente deficiente. Deben tener un servicio de recogida de la máquina vieja que ha dejado de funcionar, si ese fuera el caso, de la misma manera que cuando envían cápsulas a casa, ofrecen el servicio de recogida de cápsulas para reciclar y siempre regalan bolsas de reciclaje con cada compra de cápsulas.","406,9301"
"Tuve una mala experiencia con el servicio de chat de Nespresso el pasado 16/11/2023; necesitaba hablar con un asesor, pero no hubo respuesta a mi solicitud.",501
"Tras varios intentos fallidos, finalmente no pude realizar mi pedido online.",501
Es frustrante usar una aplicación tan deficiente como esta de la marca de café.,501
"La confirmación de mi pedido en línea tardó demasiado, estaba inseguro.",501
No me han ayudado para conseguir entrar en mi perfil. al introducir mi correo y contaseña en el sistema sale el error. Y no puedo ni entrar en mi perfil ni disfrutar de la experiencia,501
"Tras múltiples intentos fallidos, desistí de realizar mi pedido en línea.",501
"Últimamente el servicio online es pésimo, voy a dejar de ser clienta después de 10 años con nexpreso, por el mal servicio que tengo, actualmente llevo días reclamando mi pedido y no me lo entregan ","501,0102"
La página web de esta marca de café es tan poco usable que simplemente me rindo. Tienen que mejorar la calidad y la variedad de los descafeinados.,"501,0206"
"Hacer un pedido en línea es un desastre. El proceso de compra es complicado y frustrante, y además, no me parece muy ecológico.","501,0302"
"Cada vez que intento comprar en línea, me encuentro con problemas en su sitio web. Me atendieron de manera excelente en El Corte Inglés.","501,9601"
Compré una cafetera en El Corte Inglés y ahora me enfrento a problemas constantes con ella.,601
"No puedo creer lo desinteresados que son en tiendas que venden estos productos, es una vergüenza.",601
He tenido una mala experiencia con el servicio de atención al cliente de El Corte Inglés.,601
Los dependientes en grandes superficies como Amazon deberían ser más atentos; su desinterés es evidente.,601
El Corte Inglés me vendió una máquina de café que no cumple con las expectativas.,601
El servicio al cliente de MediaMarkt fue poco atento cuando reporté un defecto en mi máquina.,601
Me atendieron fatal en corte inglés Mi cafetera está en reparación y prometieron proporcionarme una máquina de cortesía. Pasaron semanas y nunca llegó.,"601,0405"
La mala atención al cliente en tiendas como Carrefour que ofrecen esta marca es un problema constante. La falta de flexibilidad y apertura en el proceso de degustación aquí es un inconveniente.,"601,0702"
"La falta de cortesía y profesionalismo en tiendas como El Corte Inglés que venden estos productos es inaceptable. Sin embargo, la originalidad en la promoción del producto es destacable.","601,9202"
"Me atendieron muy mal en El Corte Inglés. Sin embargo, cada vez que intento comprar en línea, todo funciona sin problemas en su sitio web.","601,9501"
El personal de la boutique de Nespresso en Argüelles no cumplió con las expectativas de servicio al cliente.,701
Es evidente que el personal en las tiendas de Nespresso no está adecuadamente calificado para brindar un buen servicio.,701
"La última vez que fui a la boutique, la atención fue terrible.",701
Mi experiencia en la tienda del centro comercial Sant Cugat fue mala. La chica que me atendió era poco profesional y seguía conversando con su compañera sin terminar de atenderme.,701
Los problemas de atención al cliente en las boutiques Nespresso perjudican la imagen de marca.,701
"Los dependientes en las boutiques de Nespresso parecen estar en el negocio equivocado, deberían cambiar de profesión.",701
La lentitud en el servicio al cliente en las tiendas de Nespresso hace que uno se cuestione si debería seguir siendo cliente. No puedo creer que la cafetera haya llegado con un abollón en la parte frontal. ¿Cómo pueden enviar productos en este estado?,"701,0101"
"En las boutiques de Nespresso, los dependientes parecen no atender bien las necesidades de los clientes. Además, la compañía de reparto entregó mi paquete a un vecino equivocado, y ahora estoy tratando de recuperarlo.","701,0104"
"Es frustrante lidiar con dependientes en Nespresso que parecen desinteresados en ofrecer un buen servicio. A pesar de esto, la marca siempre compensa mi lealtad con pequeños detalles agradables.","701,9203"
"La falta de profesionalismo y amabilidad de los dependientes en las tiendas de Nespresso es inaceptable. Por otro lado, cuando llamo al servicio telefónico, siempre encuentro a personas amables y eficientes que resuelven mis dudas rápidamente.","701,9801"
La falta de café de cortesía en algunas tiendas es decepcionante.,702
Ultimamente no se da un cafe a probar cuando vas a los establecimientos,702
En algunas tiendas ya no ofrecen café de cortesía como solían hacerlo.,702
Extraño tener la oportunidad de probar diferentes variedades de café antes de comprar.,702
Últimamente los empleados ya no te ofrecen un café para probar sabores nuevos ni te invitan a degustar un café como antes. Se ha vuelto una experiencia de tienda normal al uso.,702
Ojalá pudiera probar el café elegido antes de comprarlo.,702
"La falta de flexibilidad y apertura en el proceso de degustación aquí es un inconveniente. El pedido llegó con una pieza faltante, y esto afecta gravemente su funcionalidad.","702,0103"
"La actitud del personal durante la degustación es tan negativa que desanima a los clientes.La caferera vertuo no me gusta, sale el cafe frio","702,0207"
"Es decepcionante que la degustación en estas tiendas de café sea una experiencia tan poco gratificante. Además, la renovación automática de la suscripción fue una sorpresa desagradable y muestra una falta total de transparencia.","702,0501"
"La falta de profesionalismo y conocimiento durante el proceso de degustación en estas tiendas es preocupante. Por otro lado, la bolsa de reciclaje de cápsulas siempre está incluida con cada compra","702,9301"
Una tienda física cerca de casa sería ideal para evitar pedidos mínimos.,708
Una boutique en el centro de la ciudad sería una recomendación más sólida para Nespresso.,708
Un punto de recogida en Zumaia (Gipuzkoa) sería de utilidad para quienes no pueden acudir a una tienda Nespresso.,708
Una renovación de la tienda de Alicante sería bienvenida para disfrutar del café de manera más cómoda.,708
Una boutique Nespresso en Cádiz sería bienvenida.,708
Tener que desplazarme a otra ciudad para comprar cápsulas Nespresso es poco conveniente.,708
"Los constantes cierres de tiendas solo empeoran la situación, dejándonos con menos opciones. Además, el paquete llegó visiblemente dañado, y al abrirlo, encontré las cápsulas de café abiertas y derramadas por todas partes.","708,0101"
"La falta de tiendas en mi vecindario me hace considerar cambiar a otras marcas con mejor presencia. El café no sale muy caliente , está es la pega que yo veo","708,0208"
"La red de tiendas es tan limitada que a menudo me veo obligado a buscar alternativas en otros lugares. Por otro lado, mi máquina de café ha estado funcionando sin problemas desde que fue reparada.","708,9401"
"Es frustrante que haya tan pocas tiendas cerca de mi ubicación; siempre tengo que desplazarme una distancia considerable. Sin embargo, cada vez que pruebo un nuevo sabor de café en la tienda, me siento como un explorador de sabores.","708,9702"
Una limitación notable del personal de Nespresso es su falta de autonomía para ayudar en cuestiones relacionadas con los datos de los usuarios.,808
Tuve que reclamar varias veces para obtener una solución.,808
Tuve que ponerme en contacto varias veces para obtener información sobre mi pedido.,808
"En dos ocasiones, tuve que llamar a Nespresso, y en ambas ocasiones la situación no se resolvió adecuadamente.",808
"Desde el 14/12/2021, he estado tratando de que solucionen una avería, pero la respuesta ha sido extremadamente lenta.",808
"Nespresso tiene que tener un servicio al cliente al nivel de de la imagen que proyectan. Si una factura no es clara, se modifica y se da una respuesta adecuada al cliente. Además, el último contacto no tuvo respuesta. Incomprensible.",808
"La falta de información y seguimiento por parte de Nespresso ha sido decepcionante. Mi cafetera debería haber llegado hace una semana, pero todavía no ha llegado. Esto es inaceptable.","808,0102"
"Experimenté problemas similares dos veces al llamar a Nespresso; la primera vez me dijeron que estaba solucionado, pero no lo fue. Pedí un reembolso y la empresa nunca devolvió el dinero. Es una falta de respeto al cliente.","808,0202"
"Me sentí desatendido por Nespresso cuando llamé para resolver un problema con mi pedido. Afortunadamente, el paquete llegó en excelente estado, sin abolladuras, y el producto en su interior estaba impecable","808,9101"
La atención a mis solicitudes ha sido decepcionante por parte de Nespresso. Excelente relación calidad-precio en sus productos.,"808,9201"
"Compré un juego de cafeteras y cápsulas, y el paquete llegó en excelente estado, sin signos de maltrato en absoluto.",9101
"El servicio de entrega cumplió puntualmente el plazo de entrega prometido, lo cual es muy satisfactorio.",9101
"Hice un pedido el 11 de agosto por teléfono, y el 19 de agosto ya lo había recibido puntualmente.",9101
Siempre son rápidos y precisos en la entrega de pedidos.,9101
"Mi pedido se ha entregado puntualmente dos veces consecutivas, y confío plenamente en su puntualidad.",9101
"Las cápsulas de café que pedí llegaron en perfecto estado, y puedo disfrutar de mi café como de costumbre.","9101,9201"
"Estoy muy satisfecho porque el paquete llegó en perfectas condiciones, sin daños en la caja ni derrames en las cápsulas. Sin embargo, la cafetera sigue sin tener presión incluso después de la reparación","9101,0401"
"Fue reconfortante descubrir que la caja de mi cafetera llegó en perfecto estado, lo que refleja un servicio de entrega cuidadoso y confiable. Sin embargo, la máquina de sustitución que me dieron como cortesía no funcionaba correctamente.","9101,0405"
"Las cápsulas de café que me entregaron estaban en perfectas condiciones, todas utilizables y sin daños, lo que me permitió disfrutar de mi café sin problemas. Además, las aplicaciones de esta marca de café son tan estables que nunca se bloquean.","9101,9501"
"Estoy muy satisfecho porque el paquete llegó en perfectas condiciones, sin daños en la caja ni derrames en las cápsulas. Aprecio mucho la oportunidad de probar cafés de edición especial en la tienda.","9101,9702"
Variedad y facilidad de uso en las cafeteras son ideales.,9201
Una variedad impresionante de cafés con un servicio excelente.,9201
Un sabor único que no se encuentra en ningún otro lugar.,9201
Un producto exquisito y una empresa muy fiable.,9201
Un producto distinguido respaldado por una empresa seria.,9201
Un producto de calidad con una amplia variedad de opciones.,9201
Las máquinas de café son muy elegantes y fáciles de operar. La demora en la entrega de las reparaciones es frustrante.,"9201,0403"
"Disfruto del delicioso sabor y la variedad de opciones que ofrecen. Además, siempre entregan el pedido correcto con un embalaje impecable.","9201,9101"
Un lema bien elaborado puede llegar a convertirse en sinónimo de una marca.,9202
Un eslogan bien formulado puede convertirse en sinónimo de una marca.,9202
Un buen eslogan puede hacer que recuerde una marca.,9202
La manera en que la marca utiliza los datos para afinar su marketing es innovadora.,9202
Su enfoque en la publicidad basada en valores ha resonado profundamente con el público.,9202
La marca ha hecho un trabajo excepcional en diferenciarse con su marketing.,9202
Impresionante cómo han posicionado el producto en el mercado con su marketing. Lo único que mejoraría sería el reciclaje de las cápsulas,"9202,0301"
"La originalidad en la promoción de su producto es destacable, pero la atención a mis solicitudes por parte de Nespresso ha sido decepcionante.","9202,0808"
Admirable cómo la campaña publicitaria ha creado un nuevo segmento de clientes. Me alegra que mi cafetera ya no haga ruido después de la reparación.,"9202,9401"
"La estrategia de publicidad de la marca es muy efectiva y atractiva. El servicio de Nespresso es rápido y eficiente, y el trato siempre es amable y profesional.","9202,9801,9401"
Las ofertas especiales para clientes leales son siempre tentadoras.,9203
